Company Name,ISIN,Industry,Total score (max. 16),1a,1b,1c,1d,JT1,2a,2b,2c,2d,JT2,3a,3b,3c,3d,JT3,4a,4b,4c,4d,JT4,5a,5b,5c,5d,JT5,6a,6b,6c,6d,JT6
Électricité de France (EDF),FR0010242511,Electric Utilities,12,1,1,1,1,4,1,1,1,0,3,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,2,0,0,0.5,0.5,1,0,0,0,0,0
Electricity Generating Authority of Thailand,TH0863010003,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eletrobras,BRELETACNPB7,Electric Utilities,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0
Emirates National Oil Company (ENOC),0,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
EnBW Energie Baden-Wuerttemberg,DE0005220008,Electric Utilities,5,1,0,0,0,1,1,0,0,0,1,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Enel,IT0003128367,Electric Utilities,12,1,1,1,1,4,1,1,0,0,2,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5
ENEOS Holdings,JP3386450005,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
ENGIE,FR0010208488,Oil and Gas,12,1,1,1,1,4,1,1,1,0,3,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,2,0,0,0,0,0,0.5,0,0.5,0,1
ENGIE,FR0010208488,Electric Utilities,12,1,1,1,1,4,1,1,1,0,3,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,2,0,0,0,0,0,0.5,0,0.5,0,1
Eni,IT0003132476,Oil and Gas,9,1,1,1,1,4,0,0,1,0,1,0.5,0,0,0.5,1,0.5,0,0.5,0.5,1.5,0,0.5,0,0.5,1,0.5,0,0,0,0.5
Enterprise Products Partners ,US2937921078,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
EOG Resources,US26875P1012,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Equinor,NO0010096985,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,1,0,0,0,0.5,0.5,0.5,0,0,0,0.5
Eskom Holdings,US2964634099,Electric Utilities,3,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,1,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
Exelon Corporation,US30161N1019,Electric Utilities,3.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0.5,0,0.5
Exxon Mobil,US30231G1022,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0.5,0,0,0,0.5
Fiat Chrysler Automobiles,NL0010877643,Automotive,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Ford,US3453708600,Automotive,3.5,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Formosa Petrochemical Corp,TW0006505001,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Fortum,FI0009007132,Electric Utilities,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5
GAIL (India),INE129A01019,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Galp Energia,PTGAL0AM0009,Oil and Gas,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0.5,0,0.5,0.5,1.5
Gazprom,RU0007661625,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
General Motors Corporation (GM),US37045V1008,Automotive,6.5,0,0,1,0,1,0,1,0,1,2,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0.5,0.5
Great Wall Motor Company,CNE1000018V8,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groupe PSA,FR0000121501,Automotive,5.5,1,0,0,1,2,1,0,0,0,1,0,0.5,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
GS Holdings,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
