"link","name","totalscr","govandstrat","ecoandbio","socialincl"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/daiichi-sankyo","Daiichi Sankyo","18.3","23.7","18.2","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/yokohama-rubber","Yokohama Rubber","18.3","23.7","18.8","15.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/arcelormittal-2","ArcelorMittal","18.1","31.5","14.2","18.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/dupont","DuPont","18.1","35.0","11.3","21.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/sika","Sika","18.1","45.0","10.6","18.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/tata-steel","Tata Steel","18.1","41.2","10.4","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/novo-nordisk","Novo Nordisk","17.9","12.5","8.0","35.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/sumitomo-metal-mining","Sumitomo Metal Mining","17.8","40.0","19.6","6.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/taiwan-cement","Taiwan Cement","17.8","45.0","11.7","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/dr-reddys-laboratories","Dr Reddy's Laboratories","17.7","28.7","13.8","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lotte-chemical","LOTTE Chemical","17.7","51.2","13.8","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/northam-platinum","Northam Platinum","17.7","45.0","14.5","11.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/dic-corporation","DIC Corporation","17.6","28.7","19.4","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/metinvest","Metinvest","17.6","38.7","14.0","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/titan-cement","Titan Cement","17.6","25.0","14.6","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/skanska","Skanska","17.5","25.0","13.5","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/asics","ASICS","17.4","35.0","12.6","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/boskalis","Boskalis","17.4","45.0","7.3","22.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lvmh-moet-hennessy-louis-vuitton-3","LVMH Moet Hennessy - Louis Vuitton","17.4","18.7","11.3","26.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/stantec","Stantec","17.4","28.7","17.1","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/3m-company","3M Company","17.2","18.7","14.8","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/prada-2","Prada","17.2","23.7","15.2","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/thyssenkrupp","thyssenkrupp","17.1","25.0","11.3","22.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/semen-indonesia","Semen Indonesia","17.0","40.0","13.3","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/bouygues-group","Bouygues Group","16.8","28.7","14.0","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/cipla","Cipla","16.8","40.0","12.2","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/continental","Continental","16.8","17.5","9.5","28.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/fomento-de-construcciones-y-contratas","Fomento de Construcciones y Contratas","35.0","9.8","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/huntsman-corporation","Huntsman Corporation","16.7","18.7","12.6","22.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/shimizu-corporation","Shimizu Corporation","16.6","22.5","20.1","8.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/balfour-beatty","Balfour Beatty","16.5","30.0","9.6","21.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/hanwha-solutions","Hanwha Solutions","16.5","28.7","17.3","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/royal-bam-group","Royal BAM Group","16.4","40.0","10.3","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/sherwin-williams","Sherwin-Williams","16.4","25.0","16.1","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ultratech-cement-2","UltraTech Cement","16.4","25.0","11.3","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lojas-renner-3","Lojas Renner","16.3","28.7","10.2","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nordstrom-2","Nordstrom","16.2","23.7","6.8","27.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/jacobs-engineering-group","Jacobs Solutions","15.9","23.7","12.7","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nucor-corporation","Nucor Corporation","15.9","28.7","14.6","12.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/borealis","Borealis","15.8","38.7","10.1","15.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/aspen-pharmacare","Aspen Pharmacare","15.6","38.7","7.2","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/kohls-2","Kohl's","15.6","6.2","15.6","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/columbia-sportswear-2","Columbia Sportswear","15.4","11.2","13.3","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/eiffage","Eiffage","15.3","12.5","19.2","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/abbvie","AbbVie","15.2","23.7","12.4","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ball-corporation","Ball Corporation","15.2","0.0","12.9","24.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/first-quantum-minerals","First Quantum Minerals","15.2","25.0","10.9","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/packaging-corporation-of-america-pca","Packaging Corporation of America (PCA)","15.2","23.7","13.2","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/shree-cement","Shree Cement","15.1","38.7","11.0","11.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/james-hardie-industries","James Hardie Industries","14.7","30.0","10.6","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/quanta-services","Quanta Services","14.7","23.7","8.4","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/union-andina-de-cementos","Union Andina de Cementos","14.7","38.7","10.2","11.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/sealed-air","Sealed Air","14.6","18.7","13.4","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/arconic","Arconic","14.5","6.2","13.0","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/fluor","Fluor","14.5","28.7","10.0","15.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/siam-city-cement","Siam City Cement","14.5","28.7","10.7","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/carters-4","Carter's","14.4","25.0","9.6","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/gilead-sciences","Gilead Sciences","14.4","12.5","11.7","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/industrias-penoles","Industrias Peñoles","14.4","32.5","6.7","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/new-balance","New Balance","14.4","22.5","12.0","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ternium","Ternium","14.4","12.5","12.6","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/showa-denko","Showa Denko","14.3","25.0","11.2","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/subsea-7","Subsea 7","14.3","25.0","9.2","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/the-foschini-group-tfg-2","The Foschini Group","14.3","56.2","4.0","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/crown-holdings","Crown Holdings","14.2","12.5","12.4","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/amcor","Amcor","14.0","30.0","10.4","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ardagh-group","Ardagh Group","14.0","23.7","11.9","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/pactiv-evergreen","Pactiv Evergreen","14.0","11.2","15.2","13.4"
